2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)
53,Real estate and rental and leasing,Total,Establishments with 500 employees or more,2019,104,124,"111,867","110,907",D,D,D,D,"14,160",D,"12,596",D,12.768,"12,031",D,"10,980",D,10.848,"2,129",1.92,21.696,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 employees or more,2020,116,140,"134,560","128,990",7,5.072,3,2.174,"31,264","18,596","12,668",14.417,24.238,"19,484","6,352","13,132",4.924,15.105,"11,780",9.133,30.21,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2011,65,89,"63,148","62,349",D,D,D,D,"6,763",D,"5,835",D,10.847,"5,245",D,"2,757",D,8.412,"1,518",2.435,16.825,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2012,61,85,"46,660","56,998",0,0,D,D,"4,891",0,"4,891",0,8.581,"26,668",D,"25,728",D,46.788,"−21,777",−38.207,17.162,D,D,D
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2013,67,76,"50,218","50,726",D,D,0,0,"7,179",D,"5,782",D,14.153,"8,399",0,"8,399",0,16.558,"−1,220",−2.405,28.305,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2014,69,75,"51,467","50,012",0,0,D,D,"8,735",0,"8,735",0,17.466,"6,085",D,"3,329",D,12.167,"2,650",5.299,24.334,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2015,63,69,"43,171","46,464",0,0,D,D,"2,750",0,"2,750",0,5.919,"9,422",D,"6,124",D,20.278,"−6,672",−14.360,11.837,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2016,71,78,"49,896","52,422",0,0,3,3.774,"4,862",0,"4,862",0,9.275,"9,776","4,412","5,364",8.416,18.649,"−4,914",−9.374,18.55,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2017,69,76,"49,124","49,706",0,0,0,0,"6,067",0,"6,067",0,12.206,"7,007",0,"7,007",0,14.097,−940,−1.891,24.412,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2018,72,77,"51,199","50,129",D,D,D,D,"5,941",D,"4,862",D,11.852,"4,093",D,"2,499",D,8.165,"1,848",3.687,16.33,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2019,86,94,"62,614","61,065",D,D,D,D,"8,211",D,"6,647",D,13.446,"4,892",D,"3,841",D,8.011,"3,319",5.435,16.022,0,0,0
53,Real estate and rental and leasing,Total,Establishments with 500 to 999 employees,2020,93,110,"77,451","75,433",4,3.67,D,D,"14,211","5,700","8,511",7.556,18.839,"9,998",D,"6,451",D,13.254,"4,213",5.585,26.508,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2011,22,43,"64,366","62,509",0,0,0,0,"4,389",0,"4,389",0,7.021,659,0,659,0,1.054,"3,730",5.967,2.109,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2012,26,33,"43,805","46,243",0,0,0,0,"4,464",0,"4,464",0,9.653,"9,757",0,"9,757",0,21.1,"−5,293",−11.446,19.307,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2013,27,29,"41,250","41,395",0,0,0,0,"2,952",0,"2,952",0,7.131,"3,336",0,"3,336",0,8.059,−384,−0.928,14.263,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2014,28,32,"47,440","45,268",0,0,0,0,"4,697",0,"4,697",0,10.376,288,0,288,0,0.636,"4,409",9.74,1.272,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2015,27,32,"45,374","46,444",0,0,0,0,"1,084",0,"1,084",0,2.334,"3,180",0,"3,180",0,6.847,"−2,096",−4.513,4.668,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2016,22,26,"42,394","39,883",0,0,0,0,"5,446",0,"5,446",0,13.655,630,0,630,0,1.58,"4,816",12.075,3.159,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2017,25,29,"46,900","46,514",0,0,0,0,"4,364",0,"4,364",0,9.382,"3,713",0,"3,713",0,7.983,651,1.4,15.965,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2018,26,31,"51,965","50,889",D,D,0,0,"5,030",D,"1,526",D,9.884,"3,246",0,"3,246",0,6.379,"1,784",3.506,12.757,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2019,26,30,"49,253","49,842",0,0,0,0,"5,932",0,"5,932",0,11.902,"7,209",0,"7,209",0,14.464,"−1,277",−2.562,23.803,0,0,0
53,Real estate and rental and leasing,Total,"Establishments with 1,000 employees or more",2020,29,30,"57,109","53,557",D,D,D,D,"17,196",D,"4,300",D,32.108,"9,535",D,"6,730",D,17.804,"7,661",14.305,35.607,0,0,0
54,"Professional, scientific, and technical services",Total,All establishments,2011,"645,832","733,167","7,877,430","7,822,111","89,688",12.268,"85,519",11.698,"1,267,521","404,588","862,933",5.172,16.204,"1,161,026","409,200","751,826",5.231,14.843,"106,495",1.361,29.686,"56,579","57,161","208,230"
54,"Professional, scientific, and technical services",Total,All establishments,2012,"652,989","737,843","7,947,964","7,906,813","88,636",12.066,"82,162",11.184,"1,312,237","435,078","877,159",5.503,16.596,"1,228,739","476,552","752,187",6.027,15.54,"83,498",1.056,31.081,"52,508","53,109","213,795"
54,"Professional, scientific, and technical services",Total,All establishments,2013,"660,457","748,061","8,188,265","8,043,381","91,828",12.352,"82,610",11.112,"1,422,242","546,776","875,466",6.798,17.682,"1,133,679","416,543","717,136",5.179,14.095,"288,563",3.588,28.189,"53,124","53,460","215,298"
54,"Professional, scientific, and technical services",Total,All establishments,2014,"667,536","759,852","8,442,976","8,334,528","93,877",12.445,"82,786",10.975,"1,363,736","472,272","891,464",5.666,16.362,"1,145,214","401,349","743,865",4.815,13.741,"218,522",2.622,27.481,"53,797","54,406","198,693"
54,"Professional, scientific, and technical services",Total,All establishments,2015,"673,647","770,877","8,656,945","8,533,752","94,073",12.293,"82,876",10.83,"1,439,521","519,601","919,920",6.089,16.869,"1,189,726","415,042","774,684",4.864,13.941,"249,795",2.927,27.883,"55,464","55,967","214,716"
54,"Professional, scientific, and technical services",Total,All establishments,2016,"680,022","782,399","8,810,351","8,694,304","94,146",12.121,"82,771",10.657,"1,319,460","454,819","864,641",5.231,15.176,"1,088,385","379,492","708,893",4.365,12.518,"231,075",2.658,25.037,"57,572","58,158","228,023"
54,"Professional, scientific, and technical services",Total,All establishments,2017,"682,892","784,936","8,873,486","8,773,730","87,786",11.211,"83,951",10.721,"1,296,879","381,652","915,227",4.35,14.781,"1,096,802","452,223","644,579",5.154,12.501,"200,077",2.28,25.002,"57,994","58,635","251,471"
54,"Professional, scientific, and technical services",Total,All establishments,2018,"687,031","786,261","9,087,108","8,982,362","86,405",11.001,"84,718",10.786,"1,272,777","367,803","904,974",4.095,14.17,"1,064,152","407,611","656,541",4.538,11.847,"208,625",2.323,23.694,"59,264","60,197","243,270"
54,"Professional, scientific, and technical services",Total,All establishments,2019,"693,986","794,358","9,254,196","9,174,996","90,198",11.411,"82,427",10.428,"1,241,102","372,727","868,375",4.062,13.527,"1,087,545","400,435","687,110",4.364,11.853,"153,557",1.674,23.707,"62,339","62,978","243,728"
54,"Professional, scientific, and technical services",Total,All establishments,2020,"699,433","801,324","9,528,578","9,401,486","93,162",11.676,"86,276",10.813,"1,366,987","437,790","929,197",4.657,14.54,"1,113,168","424,198","688,970",4.512,11.84,"253,819",2.7,23.681,"67,662","68,349","261,896"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2011,"465,156","492,768","999,099","993,147","83,301",16.979,"78,963",16.095,"256,676","167,273","89,403",16.843,25.845,"246,048","152,148","93,900",15.32,24.775,"10,628",1.07,49.549,"53,219","53,565","103,145"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2012,"472,537","498,984","1,008,491","999,555","82,363",16.622,"75,412",15.219,"256,958","164,117","92,841",16.419,25.707,"240,303","147,174","93,129",14.724,24.041,"16,655",1.666,48.082,"49,395","49,727","95,977"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2013,"477,438","506,158","1,020,495","1,008,576","84,731",16.877,"76,525",15.242,"260,996","170,714","90,282",16.926,25.878,"237,830","147,788","90,042",14.653,23.581,"23,166",2.297,47.162,"50,072","50,248","96,152"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2014,"481,718","514,464","1,032,330","1,017,679","88,107",17.308,"77,312",15.187,"262,041","171,440","90,601",16.846,25.749,"235,054","147,077","87,977",14.452,23.097,"26,987",2.652,46.194,"50,667","51,078","98,267"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2015,"485,659","521,677","1,044,324","1,029,240","87,210",16.885,"76,864",14.882,"267,127","172,536","94,591",16.763,25.954,"236,389","146,658","89,731",14.249,22.967,"30,738",2.986,45.935,"52,076","52,365","101,542"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2016,"489,835","528,182","1,055,207","1,038,357","87,498",16.733,"76,939",14.714,"268,839","173,579","95,260",16.717,25.891,"234,992","145,894","89,098",14.05,22.631,"33,847",3.26,45.262,"53,926","54,278","105,448"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2017,"491,628","529,282","1,042,349","1,038,904","82,115",15.59,"76,967",14.613,"247,641","158,261","89,380",15.233,23.837,"241,601","149,573","92,028",14.397,23.255,"6,040",0.581,46.511,"54,095","54,442","104,969"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2018,"493,243","529,516","1,039,874","1,035,547","81,115",15.364,"77,999",14.774,"244,323","153,414","90,909",14.815,23.594,"233,868","149,263","84,605",14.414,22.584,"10,455",1.01,45.168,"55,262","55,825","107,935"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2019,"499,658","536,283","1,047,313","1,038,515","84,670",15.915,"76,099",14.304,"246,316","160,508","85,808",15.456,23.718,"228,554","143,721","84,833",13.839,22.008,"17,762",1.71,44.016,"58,071","58,458","110,942"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 4 employees,2020,"505,347","542,486","1,053,873","1,045,602","87,677",16.278,"79,971",14.847,"252,216","163,163","89,053",15.605,24.122,"234,734","150,134","84,600",14.359,22.45,"17,482",1.672,44.899,"63,324","63,729","119,284"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2011,"99,887","112,550","780,582","788,821","3,669",3.258,"3,817",3.389,"134,377","47,978","86,399",6.082,17.035,"151,185","49,888","101,297",6.324,19.166,"−16,808",−2.131,34.07,"2,228","2,280","29,669"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2012,"98,908","110,979","779,097","778,705","3,204",2.882,"3,591",3.23,"132,421","42,660","89,761",5.478,17.005,"131,885","48,494","83,391",6.228,16.936,536,0.069,33.873,"1,914","1,962","26,140"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2013,"99,678","111,530","785,581","780,043","3,681",3.307,"3,262",2.93,"134,301","48,986","85,315",6.28,17.217,"122,838","43,497","79,341",5.576,15.748,"11,463",1.47,31.495,"1,794","1,822","24,326"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2014,"100,705","112,767","793,993","787,074","3,087",2.74,"2,845",2.526,"129,884","41,248","88,636",5.241,16.502,"116,041","37,930","78,111",4.819,14.743,"13,843",1.759,29.487,"1,899","1,930","25,643"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2015,"101,555","113,378","801,452","791,562","3,372",2.979,"3,027",2.674,"131,345","44,597","86,748",5.634,16.593,"111,130","40,778","70,352",5.152,14.039,"20,215",2.554,28.079,"2,023","2,085","28,016"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2016,"102,163","114,910","812,540","801,831","3,289",2.866,"3,002",2.616,"132,701","43,964","88,737",5.483,16.55,"111,348","39,989","71,359",4.987,13.887,"21,353",2.663,27.773,"2,170","2,208","29,406"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2017,"102,193","114,698","808,518","804,062","2,893",2.516,"3,440",2.992,"128,279","38,829","89,450",4.829,15.954,"119,744","46,138","73,606",5.738,14.892,"8,535",1.061,29.785,"2,179","2,236","29,920"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2018,"102,842","114,951","810,325","806,471","3,008",2.612,"3,415",2.966,"128,342","38,983","89,359",4.834,15.914,"120,144","46,302","73,842",5.741,14.898,"8,198",1.017,29.795,"2,325","2,419","32,560"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2019,"102,156","115,372","809,585","809,748","2,981",2.579,"3,418",2.957,"121,529","40,103","81,426",4.953,15.008,"122,251","45,454","76,797",5.613,15.097,−722,−0.089,30.016,"2,582","2,635","35,015"
54,"Professional, scientific, and technical services",Total,Establishments with 5 to 9 employees,2020,"100,893","114,434","803,637","802,656","2,721",2.372,"3,270",2.851,"116,672","36,163","80,509",4.505,14.536,"114,819","44,136","70,683",5.499,14.305,"1,853",0.231,28.61,"2,554","2,608","35,342"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2011,"55,717","68,149","953,854","953,441","1,551",2.277,"1,491",2.189,"136,435","41,734","94,701",4.377,14.31,"135,132","40,693","94,439",4.268,14.173,"1,303",0.137,28.346,782,794,"21,425"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2012,"55,682","67,628","963,521","951,701","1,646",2.434,"1,668",2.466,"152,244","44,859","107,385",4.714,15.997,"129,377","45,359","84,018",4.766,13.594,"22,867",2.403,27.189,820,861,"23,185"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2013,"56,539","68,240","964,731","955,692","1,798",2.641,"1,481",2.175,"150,382","48,561","101,821",5.081,15.735,"131,682","40,543","91,139",4.242,13.779,"18,700",1.957,27.557,809,823,"22,484"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2014,"57,313","68,479","968,460","958,259","1,401",2.045,"1,428",2.085,"142,457","38,130","104,327",3.979,14.866,"122,491","38,704","83,787",4.039,12.783,"19,966",2.084,25.565,863,886,"23,657"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2015,"57,807","69,578","989,509","976,581","1,770",2.547,"1,605",2.31,"145,422","47,752","97,670",4.89,14.891,"119,609","43,431","76,178",4.447,12.248,"25,813",2.643,24.495,932,947,"25,369"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2016,"58,441","70,729","1,006,535","992,443","1,730",2.449,"1,562",2.211,"146,955","47,598","99,357",4.796,14.807,"118,264","42,635","75,629",4.296,11.916,"28,691",2.891,23.833,"1,030","1,045","28,302"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2017,"58,899","71,559","1,018,195","1,008,787","1,564",2.18,"1,949",2.716,"151,456","42,292","109,164",4.192,15.014,"132,757","53,276","79,481",5.281,13.16,"18,699",1.854,26.32,"1,149","1,185","32,241"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2018,"59,206","71,188","1,000,811","1,002,941","1,171",1.637,"1,896",2.65,"131,732","32,182","99,550",3.209,13.135,"135,078","51,592","83,486",5.144,13.468,"−3,346",−0.334,26.269,"1,216","1,250","33,593"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2019,"59,251","70,869","1,004,973","994,976","1,441",2.031,"1,620",2.283,"136,842","39,239","97,603",3.944,13.753,"117,462","43,680","73,782",4.39,11.806,"19,380",1.948,23.611,"1,173","1,190","31,964"
54,"Professional, scientific, and technical services",Total,Establishments with 10 to 19 employees,2020,"58,926","70,882","1,003,930","997,638","1,458",2.054,"1,684",2.372,"135,191","39,867","95,324",3.996,13.551,"122,431","45,950","76,481",4.606,12.272,"12,760",1.279,24.544,"1,262","1,281","34,693"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2011,"612,303","673,467","2,733,535","2,735,409","88,521",13.186,"84,271",12.553,"526,990","256,985","270,005",9.395,19.265,"532,010","242,729","289,281",8.874,19.449,"−5,020",−0.184,38.531,"56,113","56,639","154,239"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2012,"618,986","677,591","2,751,109","2,729,960","87,213",12.933,"80,671",11.963,"541,122","251,636","289,486",9.218,19.822,"501,122","241,027","260,095",8.829,18.356,"40,000",1.465,36.713,"52,017","52,550","145,302"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2013,"625,309","685,928","2,770,807","2,744,310","90,210",13.238,"81,268",11.926,"545,107","268,261","276,846",9.775,19.863,"491,819","231,828","259,991",8.448,17.921,"53,288",1.942,35.843,"52,606","52,893","142,962"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2014,"631,289","695,710","2,794,783","2,763,012","92,595",13.416,"81,585",11.82,"533,657","250,818","282,839",9.078,19.314,"472,914","223,711","249,203",8.097,17.116,"60,743",2.198,34.232,"53,329","53,894","147,567"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2015,"636,344","704,633","2,835,285","2,797,383","92,352",13.208,"81,496",11.656,"543,067","264,885","278,182",9.469,19.413,"466,335","230,867","235,468",8.253,16.67,"76,732",2.743,33.341,"54,930","55,397","154,927"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2016,"641,626","713,821","2,874,282","2,832,631","92,517",13.062,"81,503",11.507,"547,608","265,141","282,467",9.36,19.332,"463,762","228,518","235,244",8.067,16.372,"83,846",2.96,32.744,"57,012","57,531","163,156"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2017,"644,120","715,539","2,869,062","2,851,753","86,572",12.135,"82,356",11.544,"526,635","239,382","287,253",8.394,18.467,"493,288","248,987","244,301",8.731,17.298,"33,347",1.169,34.595,"57,300","57,863","167,130"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2018,"647,134","715,655","2,851,010","2,844,959","85,294",11.935,"83,310",11.657,"503,542","224,579","278,963",7.894,17.699,"488,294","247,157","241,137",8.688,17.163,"15,248",0.536,34.327,"58,644","59,494","174,088"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2019,"653,130","722,524","2,861,871","2,843,238","89,092",12.399,"81,137",11.292,"503,829","239,850","263,979",8.436,17.72,"467,478","232,855","234,623",8.19,16.442,"36,351",1.279,32.883,"61,689","62,283","177,921"
54,"Professional, scientific, and technical services",Total,Establishments with 1 to 19 employees,2020,"657,450","727,802","2,861,440","2,845,895","91,856",12.681,"84,925",11.725,"503,215","239,193","264,022",8.405,17.682,"471,198","240,220","230,978",8.441,16.557,"32,017",1.125,33.114,"66,998","67,618","189,319"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2011,"37,214","50,240","2,032,095","2,020,816","1,012",2.013,"1,101",2.19,"300,921","78,043","222,878",3.862,14.891,"278,380","86,368","192,012",4.274,13.776,"22,541",1.115,27.551,468,484,"36,936"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2012,"37,495","50,692","2,077,458","2,046,552","1,244",2.453,"1,267",2.499,"347,337","95,750","251,587",4.679,16.972,"285,565","98,564","187,001",4.816,13.953,"61,772",3.018,27.907,486,513,"39,061"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2013,"38,789","52,092","2,144,197","2,106,933","1,346",2.588,"1,163",2.237,"338,435","109,295","229,140",5.187,16.063,"264,765","89,894","174,871",4.267,12.566,"73,670",3.497,25.133,492,507,"37,885"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2014,"39,713","53,621","2,200,417","2,170,503","1,081",2.017,"1,028",1.918,"320,547","85,209","235,338",3.926,14.768,"260,788","79,520","181,268",3.664,12.015,"59,759",2.753,24.03,458,465,"33,465"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2015,"40,673","55,273","2,289,328","2,244,693","1,429",2.591,"1,197",2.17,"361,232","117,748","243,484",5.246,16.093,"270,579","90,089","180,490",4.013,12.054,"90,653",4.039,24.108,511,518,"36,333"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2016,"41,634","57,062","2,352,479","2,312,017","1,445",2.539,"1,133",1.991,"352,361","105,140","247,221",4.548,15.24,"271,377","87,457","183,920",3.783,11.738,"80,984",3.503,23.475,557,574,"41,764"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2017,"41,715","57,748","2,389,826","2,355,463","1,067",1.842,"1,416",2.445,"358,870","84,441","274,429",3.585,15.236,"289,290","108,400","180,890",4.602,12.282,"69,580",2.954,24.563,704,720,"52,201"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2018,"42,397","58,506","2,404,612","2,388,411",977,1.666,"1,250",2.132,"313,800","75,492","238,308",3.161,13.138,"281,553","97,190","184,363",4.069,11.788,"32,247",1.35,23.577,614,637,"46,211"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2019,"43,058","59,457","2,461,726","2,431,063",964,1.619,"1,132",1.901,"323,948","73,385","250,563",3.019,13.325,"264,260","88,194","176,066",3.628,10.87,"59,688",2.455,21.74,637,644,"45,545"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 99 employees,2020,"43,726","60,709","2,521,701","2,491,232","1,091",1.796,"1,163",1.915,"331,827","88,748","243,079",3.562,13.32,"271,673","89,480","182,193",3.592,10.905,"60,154",2.415,21.81,660,679,"48,233"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2011,"5,226","8,335","1,647,023","1,631,035",146,1.752,141,1.692,"248,469","54,514","193,955",3.342,15.234,"218,124","56,079","162,045",3.438,13.373,"30,345",1.86,26.747,36,36,"13,722"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2012,"5,297","8,427","1,656,566","1,649,940",164,1.942,200,2.368,"259,092","54,851","204,241",3.324,15.703,"244,832","79,192","165,640",4.8,14.839,"14,260",0.864,29.678,44,44,"14,992"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2013,"5,609","8,894","1,752,236","1,727,377",243,2.745,160,1.807,"267,560","85,864","181,696",4.971,15.489,"219,396","55,350","164,046",3.204,12.701,"48,164",2.788,25.402,53,53,"18,998"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2014,"5,814","9,324","1,855,040","1,827,107",176,1.889,160,1.717,"275,894","69,536","206,358",3.806,15.1,"220,575","59,872","160,703",3.277,12.072,"55,319",3.028,24.145,44,45,"14,571"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2015,"6,031","9,715","1,929,324","1,895,000",271,2.805,165,1.708,"310,971","100,811","210,160",5.32,16.41,"239,618","62,326","177,292",3.289,12.645,"71,353",3.765,25.29,48,48,"16,244"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2016,"6,356","10,232","2,021,546","1,990,190",172,1.685,120,1.176,"269,520","62,491","207,029",3.14,13.542,"207,219","41,557","165,662",2.088,10.412,"62,301",3.13,20.824,45,48,"16,843"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2017,"6,389","10,360","2,052,775","2,016,201",140,1.35,164,1.581,"268,416","48,528","219,888",2.407,13.313,"194,988","58,610","136,378",2.907,9.671,"73,428",3.642,19.342,46,46,"17,575"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2018,"6,722","10,729","2,131,467","2,098,184",119,1.108,149,1.387,"269,012","47,003","222,009",2.24,12.821,"204,321","48,059","156,262",2.291,9.738,"64,691",3.083,19.476,62,64,"20,605"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2019,"6,908","10,933","2,169,445","2,146,214",132,1.207,147,1.344,"249,396","43,522","205,874",2.028,11.62,"203,297","54,891","148,406",2.558,9.472,"46,099",2.148,18.945,49,50,"18,207"
54,"Professional, scientific, and technical services",Total,Establishments with 100 to 499 employees,2020,"7,190","11,316","2,286,507","2,240,321",198,1.752,172,1.522,"316,850","78,956","237,894",3.524,14.143,"224,440","66,545","157,895",2.97,10.018,"92,410",4.125,20.036,49,49,"17,336"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 499 employees,2011,"40,711","58,575","3,679,118","3,651,851","1,158",1.976,"1,242",2.119,"549,397","132,557","416,840",3.63,15.044,"496,496","142,447","354,049",3.901,13.596,"52,901",1.449,27.191,501,520,"50,658"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 499 employees,2012,"41,025","59,119","3,734,024","3,696,492","1,408",2.38,"1,467",2.48,"606,410","150,601","455,809",4.074,16.405,"530,412","177,756","352,656",4.809,14.349,"75,998",2.056,28.698,527,557,"54,053"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 499 employees,2013,"42,555","60,986","3,896,433","3,834,310","1,589",2.611,"1,323",2.174,"605,982","195,159","410,823",5.09,15.804,"484,164","145,244","338,920",3.788,12.627,"121,818",3.177,25.254,543,560,"56,883"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 499 employees,2014,"43,617","62,945","4,055,457","3,997,609","1,257",1.998,"1,188",1.888,"596,444","154,745","441,699",3.871,14.92,"481,364","139,392","341,972",3.487,12.041,"115,080",2.879,24.083,499,510,"48,036"
54,"Professional, scientific, and technical services",Total,Establishments with 20 to 499 employees,2015,"44,776","64,988","4,218,652","4,139,692","1,700",2.623,"1,362",2.101,"672,206","218,559","453,647",5.28,16.238,"510,201","152,415","357,786",3.682,12.325,"162,005",3.913,24.649,558,566,"52,577"
